,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
3842487,2.01506142101e+13,-77.18377,38.94803,KAKQ,W5,118,356,0,10,0.5
3842507,2.01506142101e+13,-77.01957,39.12205,KDOX,U3,76,284,0,10,0.5
3842727,2.01506142102e+13,-77.29144,38.98061,KCCX,G9,121,164,0,10,0.5
3842731,2.01506142102e+13,-77.00897,39.09149,KCCX,H7,119,157,0,30,0.5
3843013,2.01506142104e+13,-77.00901,39.10735,KDCA,X1,21,354,0,40,0.5
3843075,2.01506142104e+13,-77.31666,38.9816,KADW,O1,28,308,0,10,0.5
3843184,2.01506142105e+13,-77.1833,38.95187,KIAD,R3,18,116,0,40,0.5
3843551,2.01506142107e+13,-77.30861,39.02885,KCCX,N3,118,164,0,10,0.5
3843552,2.01506142107e+13,-76.96801,39.10494,KCCX,H7,119,156,0,10,0.5
3843936,2.0150614211e+13,-76.96985,39.10923,KDCA,X1,21,359,0,10,0.5
3844025,2.0150614211e+13,-77.23068,38.96873,KLWX,R8,12,92,0,40,0.5
3844075,2.01506142111e+13,-77.24665,38.96027,KDOX,Y2,85,276,0,30,0.5
3844101,2.01506142111e+13,-77.23143,38.97851,KAKQ,W5,120,355,0,30,0.5
3844210,2.01506142111e+13,-77.22445,38.92917,KIAD,R3,17,123,0,10,0.5
3844378,2.01506142112e+13,-77.242,38.97434,KCCX,N3,122,163,0,60,0.5
3844444,2.01506142112e+13,-77.23143,38.97143,KBWI,Y1,29,256,0,60,0.5
3844844,2.01506142115e+13,-77.20986,38.96055,KLWX,R8,13,94,0,80,0.75
3844894,2.01506142115e+13,-77.22536,38.95885,KDOX,Y2,84,276,10,80,0.5
3844940,2.01506142116e+13,-77.22952,38.96189,KAKQ,W5,119,355,10,90,0.5
3845054,2.01506142116e+13,-77.18859,38.9357,KDCA,O2,15,315,20,40,0.75
3845105,2.01506142116e+13,-77.19429,38.94003,KADW,S1,22,312,10,50,0.75
3845255,2.01506142117e+13,-77.23593,38.95833,KCCX,N3,123,163,0,80,0.5
3845258,2.01506142117e+13,-77.21657,38.97503,KIAD,L4,16,114,0,30,0.5
3845433,2.01506142118e+13,-77.21073,38.97557,KBWI,Y1,28,256,0,50,0.5
3845580,2.0150614212e+13,-77.18288,38.95005,KDIX,G1,142,246,-999,-999,-999.0
3845626,2.0150614212e+13,-77.18897,38.95527,KLWX,R8,14,95,0,80,0.5
